Material Name,Material Code,Item Category,Item Group,UOM
25 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,25 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,INDIGENOUS,PROJECT MATERIALS,MTRS
25 MM PVC CABLE GLAND,25 MM PVC CABLE GLAND,INDIGENOUS,PROJECT MATERIALS,NOS
"250 A 4 POLE CHANGE OVER SWITCH W/O ENCLOSURE, HPL (PRO)","250 A 4 POLE CHANGE OVER SWITCH W/O ENCLOSURE, HPL (PRO)",INDIGENOUS,PROJECT MATERIALS,NOS
29 MM PVC CABLE GLAND,29 MM PVC CABLE GLAND,INDIGENOUS,PROJECT MATERIALS,NOS
2KVA SINGLE PHASE INVETER,2KVA SINGLE PHASE INVETER,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDER DOOR WITH MESH 13.52MM ST 167 LAMIANTED TOUGHENED SD2,2T 2P SLIDER DOOR WITH MESH 13.52MM ST 167 LAMIANTED TOUGHENED SD2,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDER WINDOW WITH MESH 13.52MM ST 167 LAMINATED TOUGHENED W1,2T 2P SLIDER WINDOW WITH MESH 13.52MM ST 167 LAMINATED TOUGHENED W1,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDER WINDOW WITH MESH 13.52MM ST 167 LAMINATED TOUGHENED W2,2T 2P SLIDER WINDOW WITH MESH 13.52MM ST 167 LAMINATED TOUGHENED W2,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDER WINDOW WITH MESH WITH INTEGRATED RAILING 13.52MM ST 167 LAMIANTED TOUGHENED W1,2T 2P SLIDER WINDOW WITH MESH WITH INTEGRATED RAILING 13.52MM ST 167 LAMIANTED TOUGHENED W1,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDER WINDOW WITH MESH WITH TOP AND BOTTOM FIXED 13.52MM ST 167 LAMINATED TOUGHENED W4,2T 2P SLIDER WINDOW WITH MESH WITH TOP AND BOTTOM FIXED 13.52MM ST 167 LAMINATED TOUGHENED W4,INDIGENOUS,PROJECT MATERIALS,NOS
