Material Name,Material Code,Item Category,Item Group,UOM
(553442240-00) REAR PLATE - WHEEL GUARD RUBBER MTG,(553442240-00) REAR PLATE - WHEEL GUARD RUBBER MTG,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442325-00) STUD - ACCELERATOR CLEVIS,(553442325-00) STUD - ACCELERATOR CLEVIS,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442354-00) FRONT SEALING RUBBER CHASSIS,(553442354-00) FRONT SEALING RUBBER CHASSIS,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442360-00) RUBBER - MUDGUARD LH,(553442360-00) RUBBER - MUDGUARD LH,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442361-00) RUBBER INCLINED - MUDGUARD LH,(553442361-00) RUBBER INCLINED - MUDGUARD LH,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442361-00) RUBBER INCLINED MUDGUARD LH,(553442361-00) RUBBER INCLINED MUDGUARD LH,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442378-00) MUDGUARD RUBBER WHEEL GUARD,(553442378-00) MUDGUARD RUBBER WHEEL GUARD,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442393-00) CLEVIS JOINT WITH SPRING LOADED PIN - M6,(553442393-00) CLEVIS JOINT WITH SPRING LOADED PIN - M6,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442521-00) FLAP - HOPPER REAR DOOR,(553442521-00) FLAP - HOPPER REAR DOOR,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442599-00) RUBBER MTG PLATE - DOOR END,(553442599-00) RUBBER MTG PLATE - DOOR END,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442599-00) RUBBER MTG PLATE DOOR END,(553442599-00) RUBBER MTG PLATE DOOR END,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442601-00) RUBBER FLAP - BOTTOM DOOR,(553442601-00) RUBBER FLAP - BOTTOM DOOR,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442601-00) RUBBER FLAP BOTTOM DOOR,(553442601-00) RUBBER FLAP BOTTOM DOOR,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442798-00) LOCKING PLATE ENGINE HOOD,(553442798-00) LOCKING PLATE ENGINE HOOD,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442846-00) MB REAR RUBBER - BLACK,(553442846-00) MB REAR RUBBER - BLACK,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442846-00) MB REAR RUBBER BLACK,(553442846-00) MB REAR RUBBER BLACK,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442996-00) PVC (HST) - 1250 mm,(553442996-00) PVC (HST) - 1250 mm,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553443502-00) PLATE RUBBER MTG MB DOOR,(553443502-00) PLATE RUBBER MTG MB DOOR,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553443887-00) KEY - WHEEL MOTOR,(553443887-00) KEY - WHEEL MOTOR,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553640134-00) MAIN BRUSH - RD 180,(553640134-00) MAIN BRUSH - RD 180,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553641175-00) MOTOR SEAL KIT MBâ€“SBâ€“RD 180,(553641175-00) MOTOR SEAL KIT MBâ€“SBâ€“RD 180,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553641302-00) RETURN LINE FILTER - RD 180,(553641302-00) RETURN LINE FILTER - RD 180,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558210071-00)GEAR ASSY,(558210071-00)GEAR ASSY,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558440017-00) CABLE ASSY THROTTLE,(558440017-00) CABLE ASSY THROTTLE,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558440023-00) CAP â€“ BEARING,(558440023-00) CAP â€“ BEARING,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558440046-00) HUB ASSY â€“ REAR,(558440046-00) HUB ASSY â€“ REAR,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558440538-00) GAS SPRING WITH BALL JOINT - EH ASSY,(558440538-00) GAS SPRING WITH BALL JOINT - EH ASSY,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558441066-00) CRANK WMT PEDAL,(558441066-00) CRANK WMT PEDAL,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558441340-00) LOCK ASSY - HOPPER DOOR,(558441340-00) LOCK ASSY - HOPPER DOOR,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558441538-00) HST ASSY â€“ MAHINDRA,(558441538-00) HST ASSY â€“ MAHINDRA,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558441541-00) LEVER ASSY - HST ZERO POSITION WMT,(558441541-00) LEVER ASSY - HST ZERO POSITION WMT,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(558442094-00) LIFTING CABLE SB ASSY,(558442094-00) LIFTING CABLE SB ASSY,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(MH006000789F1-PB) Primary Air element - 75 HP,(MH006000789F1-PB) Primary Air element - 75 HP,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(MH006000790F1-PB) Secondary Air Element 4575GM,(MH006000790F1-PB) Secondary Air Element 4575GM,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(MH006001918A91-PB) FUEL FILTER KIT,(MH006001918A91-PB) FUEL FILTER KIT,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(MH006004215B1) BELT FAN (HILTON),(MH006004215B1) BELT FAN (HILTON),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(SO020714) MOTOR.BS282 CP 1000W 220-240 50/60 M,(SO020714) MOTOR.BS282 CP 1000W 220-240 50/60 M,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
.0 SQ.MM X SINGLE CORE COPPER WIRE COIL-270 MTR LENGTH (JUMBO COIL) GREEN,.0 SQ.MM X SINGLE CORE COPPER WIRE COIL-270 MTR LENGTH (JUMBO COIL) GREEN,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.1 FILTER AND FITTINGS 20 CFM,0.1 FILTER AND FITTINGS 20 CFM,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
